KEY,Study,SampleID,SequencingType,SampleSequencing,BamFile,SampleTypeAbbreviation,SampleTypeDescription,Sample_Preparation,SamplePreservativeDesignationReason,SequencingMachineIDs,Sequencing_Machine,Library_Selection,Sequencing_Approach,Lab_Reported_Strandedness,Sequencing_Protocol,SequencingProtocolDesignationReason,ReadLength_bp,Protocol,StrandedAnalysis_InferExperiment_PeSense,StrandedAnalysis_InferExperiment_AntiSense,StrandedAnalysis_InferExperiment_Failed,Predicted Strandness via InferExperiment,KeepOrExclude,Reason for Decision
PCGP_SJHGG115_R,PCGP,SJHGG115_R,RNA-Seq,SJHGG115_R.RNA-Seq,SJHGG115_R.RNA-Seq.bam,R,RELAPSE,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST988,HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.4814,0.4824,0.0362,Unstranded,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
PCGP_SJHGG127_D,PCGP,SJHGG127_D,RNA-Seq,SJHGG127_D.RNA-Seq,SJHGG127_D.RNA-Seq.bam,D,DIAGNOSIS,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST988,HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.4701,0.4706,0.0593,Unstranded,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
PCGP_SJHGG129_D,PCGP,SJHGG129_D,RNA-Seq,SJHGG129_D.RNA-Seq,SJHGG129_D.RNA-Seq.bam,D,DIAGNOSIS,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST1199,HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.4702,0.4734,0.0564,Unstranded,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
PCGP_SJHGG136_D,PCGP,SJHGG136_D,RNA-Seq,SJHGG136_D.RNA-Seq,SJHGG136_D.RNA-Seq.bam,D,DIAGNOSIS,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST1199,HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.4628,0.4655,0.0717,Unstranded,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
PCGP_SJHGG137_D,PCGP,SJHGG137_D,RNA-Seq,SJHGG137_D.RNA-Seq,SJHGG137_D.RNA-Seq.bam,D,DIAGNOSIS,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST1199,HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.4761,0.478,0.0458,Unstranded,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
PCGP_SJHGG138_D,PCGP,SJHGG138_D,RNA-Seq,SJHGG138_D.RNA-Seq,SJHGG138_D.RNA-Seq.bam,D,DIAGNOSIS,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST988,HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.473,0.4725,0.0545,Unstranded,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
PCGP_SJHGG139_D,PCGP,SJHGG139_D,RNA-Seq,SJHGG139_D.RNA-Seq,SJHGG139_D.RNA-Seq.bam,D,DIAGNOSIS,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST988,HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.468,0.4695,0.0625,Unstranded,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
PCGP_SJHGG140_D,PCGP,SJHGG140_D,RNA-Seq,SJHGG140_D.RNA-Seq,SJHGG140_D.RNA-Seq.bam,D,DIAGNOSIS,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST988,HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.4702,0.4725,0.0573,Unstranded,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
PCGP_SJHGG141_D,PCGP,SJHGG141_D,RNA-Seq,SJHGG141_D.RNA-Seq,SJHGG141_D.RNA-Seq.bam,D,DIAGNOSIS,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST988,HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.4793,0.4792,0.0415,Unstranded,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
PCGP_SJHGG142_D,PCGP,SJHGG142_D,RNA-Seq,SJHGG142_D.RNA-Seq,SJHGG142_D.RNA-Seq.bam,D,DIAGNOSIS,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,"HWI-ST988,HWI-ST1188",HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.4772,0.4771,0.0457,Unstranded,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
PCGP_SJHGG143_A,PCGP,SJHGG143_A,RNA-Seq,SJHGG143_A.RNA-Seq,SJHGG143_A.RNA-Seq.bam,A,AUTOPSY,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,"HWI-ST1188,HWI-ST988",HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.483,0.4875,0.0295,Unstranded,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
PCGP_SJHGG144_A,PCGP,SJHGG144_A,RNA-Seq,SJHGG144_A.RNA-Seq,SJHGG144_A.RNA-Seq.bam,A,AUTOPSY,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,"HWI-ST1188,HWI-ST988",HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.4712,0.4758,0.0529,Unstranded,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
PCGP_SJHGG145_D,PCGP,SJHGG145_D,RNA-Seq,SJHGG145_D.RNA-Seq,SJHGG145_D.RNA-Seq.bam,D,DIAGNOSIS,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,"HWI-ST1188,HWI-ST988",HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.4836,0.4882,0.0282,Unstranded,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
PCGP_SJHGG146_D,PCGP,SJHGG146_D,RNA-Seq,SJHGG146_D.RNA-Seq,SJHGG146_D.RNA-Seq.bam,D,DIAGNOSIS,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST988,HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.4837,0.4852,0.0311,Unstranded,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
G4K_SJHM030053_D1,G4K,SJHM030053_D1,RNA-Seq,SJHM030053_D1.RNA-Seq,SJHM030053_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0621,0.903,0.0348,Stranded-Reverse,KEEP,
G4K_SJHM030100_D1,G4K,SJHM030100_D1,RNA-Seq,SJHM030100_D1.RNA-Seq,SJHM030100_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0206,0.92,0.0594,Stranded-Reverse,KEEP,
G4K_SJHM030102_D1,G4K,SJHM030102_D1,RNA-Seq,SJHM030102_D1.RNA-Seq,SJHM030102_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.017,0.929,0.0539,Stranded-Reverse,KEEP,
G4K_SJHM030201_D1,G4K,SJHM030201_D1,RNA-Seq,SJHM030201_D1.RNA-Seq,SJHM030201_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00329,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0232,0.9406,0.0362,Stranded-Reverse,KEEP,
G4K_SJHM030269_D1,G4K,SJHM030269_D1,RNA-Seq,SJHM030269_D1.RNA-Seq,SJHM030269_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00309,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0172,0.9387,0.0441,Stranded-Reverse,KEEP,
G4K_SJHM030291_D1,G4K,SJHM030291_D1,RNA-Seq,SJHM030291_D1.RNA-Seq,SJHM030291_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00326,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0208,0.9324,0.0468,Stranded-Reverse,KEEP,
G4K_SJHM030302_D1,G4K,SJHM030302_D1,RNA-Seq,SJHM030302_D1.RNA-Seq,SJHM030302_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0139,0.9385,0.0476,Stranded-Reverse,KEEP,
RTCG_SJHM030369_D1,RTCG,SJHM030369_D1,RNA-Seq,SJHM030369_D1.RNA-Seq,SJHM030369_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,,,,Not Available,KEEP,
RTCG_SJHM030441_D2,RTCG,SJHM030441_D2,RNA-Seq,SJHM030441_D2.RNA-Seq,SJHM030441_D2.RNA-Seq.bam,D2,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""","K00309,K00327",HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,,,,Not Available,KEEP,
RTCG_SJHM030500_D1,RTCG,SJHM030500_D1,RNA-Seq,SJHM030500_D1.RNA-Seq,SJHM030500_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00326,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,,,,Not Available,KEEP,
RTCG_SJHM030537_D1,RTCG,SJHM030537_D1,RNA-Seq,SJHM030537_D1.RNA-Seq,SJHM030537_D1.RNA-Seq.bam,D1,DIAGNOSIS,FFPE,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,,,,Not Available,EXCLUDE,Discard given FFPE sample…
RTCG_SJHM030606_D1,RTCG,SJHM030606_D1,RNA-Seq,SJHM030606_D1.RNA-Seq,SJHM030606_D1.RNA-Seq.bam,D1,DIAGNOSIS,FFPE,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00309,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,,,,Not Available,EXCLUDE,Discard given FFPE sample…
RTCG_SJHM030615_D1,RTCG,SJHM030615_D1,RNA-Seq,SJHM030615_D1.RNA-Seq,SJHM030615_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00258,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,,,,Not Available,KEEP,
RTCG_SJHM030660_D1,RTCG,SJHM030660_D1,RNA-Seq,SJHM030660_D1.RNA-Seq,SJHM030660_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""","K00326,K00327,NB551266","HiSeq4000,NextSeq",Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,,,,Not Available,KEEP,
RTCG_SJHM030702_D1,RTCG,SJHM030702_D1,RNA-Seq,SJHM030702_D1.RNA-Seq,SJHM030702_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""","NB551266,NS500229",NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,,,,Not Available,KEEP,
RTCG_SJHM030702_D2,RTCG,SJHM030702_D2,RNA-Seq,SJHM030702_D2.RNA-Seq,SJHM030702_D2.RNA-Seq.bam,D2,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00327,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,,,,Not Available,KEEP,
RTCG_SJHM030794_D1,RTCG,SJHM030794_D1,RNA-Seq,SJHM030794_D1.RNA-Seq,SJHM030794_D1.RNA-Seq.bam,D1,DIAGNOSIS,FFPE,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00258,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,,,,Not Available,EXCLUDE,Discard given FFPE sample…
RTCG_SJHM030817_D1,RTCG,SJHM030817_D1,RNA-Seq,SJHM030817_D1.RNA-Seq,SJHM030817_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""","K00258,K00326",HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,,,,Not Available,KEEP,
RTCG_SJHM030817_D2,RTCG,SJHM030817_D2,RNA-Seq,SJHM030817_D2.RNA-Seq,SJHM030817_D2.RNA-Seq.bam,D2,DIAGNOSIS,FFPE,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00326,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,,,,Not Available,EXCLUDE,Discard given FFPE sample…
RTCG_SJHM031005_D1,RTCG,SJHM031005_D1,RNA-Seq,SJHM031005_D1.RNA-Seq,SJHM031005_D1.RNA-Seq.bam,D1,DIAGNOSIS,FFPE,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00309,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,,,,Not Available,EXCLUDE,Discard given FFPE sample…
RTCG_SJHM031090_D1,RTCG,SJHM031090_D1,RNA-Seq,SJHM031090_D1.RNA-Seq,SJHM031090_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,,,,Not Available,KEEP,
RTCG_SJHM031092_D1,RTCG,SJHM031092_D1,RNA-Seq,SJHM031092_D1.RNA-Seq,SJHM031092_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NB551266,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,,,,Not Available,KEEP,
Clinical Pilot_SJHYPER006_D,Clinical Pilot,SJHYPER006_D,RNA-Seq,SJHYPER006_D.RNA-Seq,SJHYPER006_D.RNA-Seq.bam,D,DIAGNOSIS,Fresh/Frozen,"Rusch et al., Nat. Comm. 2018; Verbal confirmation from Joy via conversation with Delaram about all Clinical Pilot studies",HISEQ,HiSeq2000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,"Rusch et al., Nat. Comm. 2018",101,Total_Stranded_Paired_End_101,0.022,0.9399,0.0381,Stranded-Reverse,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
Clinical Pilot_SJHYPER011_D,Clinical Pilot,SJHYPER011_D,RNA-Seq,SJHYPER011_D.RNA-Seq,SJHYPER011_D.RNA-Seq.bam,D,DIAGNOSIS,Fresh/Frozen,"Rusch et al., Nat. Comm. 2018; Verbal confirmation from Joy via conversation with Delaram about all Clinical Pilot studies",HISEQ,HiSeq2000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,"Rusch et al., Nat. Comm. 2018",101,Total_Stranded_Paired_End_101,0.0191,0.9298,0.0512,Stranded-Reverse,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
PCGP_SJHYPER025_D,PCGP,SJHYPER025_D,RNA-Seq,SJHYPER025_D.RNA-Seq,SJHYPER025_D.RNA-Seq.bam,D,DIAGNOSIS,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST1188,HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.4826,0.4809,0.0365,Unstranded,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
PCGP_SJHYPO010000_C1,PCGP,SJHYPO010000_C1,RNA-Seq,SJHYPO010000_C1.RNA-Seq,SJHYPO010000_C1.RNA-Seq.bam,C1,CELL_LINE,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,"HWUSI-EAS1672_3,HWUSI-EAS1714_14",GAIIX,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.4714,0.4759,0.0528,Unstranded,EXCLUDE,Remove because is a germilne sample
PCGP_SJHYPO010000_C10,PCGP,SJHYPO010000_C10,RNA-Seq,SJHYPO010000_C10.RNA-Seq,SJHYPO010000_C10.RNA-Seq.bam,C10,CELL_LINE,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST1199,HiSeq2000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,Stranded according to John Easton RNAseq Worksheet,101,Total_Stranded_Paired_End_101,0.0168,0.9384,0.0448,Stranded-Reverse,EXCLUDE,Remove because is a germilne sample
PCGP_SJHYPO010000_C11,PCGP,SJHYPO010000_C11,RNA-Seq,SJHYPO010000_C11.RNA-Seq,SJHYPO010000_C11.RNA-Seq.bam,C11,CELL_LINE,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST1199,HiSeq2000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,Stranded according to John Easton RNAseq Worksheet,101,Total_Stranded_Paired_End_101,0.0159,0.9371,0.047,Stranded-Reverse,EXCLUDE,Remove because is a germilne sample
PCGP_SJHYPO010000_C34,PCGP,SJHYPO010000_C34,RNA-Seq,SJHYPO010000_C34.RNA-Seq,SJHYPO010000_C34.RNA-Seq.bam,C34,CELL_LINE,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-M00633,MiSeq,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,300,PolyA_Unstranded_Paired_End_300,0.472,0.4725,0.0555,Unstranded,EXCLUDE,"John Easton says this sample was sequenced twice - once on a highseq and again on a miseq. The Miseq sequencing (read length 300bp) was experimental and not meant for research purposes, so discard."
PCGP_SJHYPO010000_C4,PCGP,SJHYPO010000_C4,RNA-Seq,SJHYPO010000_C4.RNA-Seq,SJHYPO010000_C4.RNA-Seq.bam,C4,CELL_LINE,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST1199,HiSeq2000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,Stranded according to John Easton RNAseq Worksheet,101,Total_Stranded_Paired_End_101,0.0253,0.9198,0.0549,Stranded-Reverse,EXCLUDE,Remove because is a germilne sample
PCGP_SJHYPO010000_C46,PCGP,SJHYPO010000_C46,RNA-Seq,SJHYPO010000_C46.RNA-Seq,SJHYPO010000_C46.RNA-Seq.bam,C46,CELL_LINE,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST988,HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.4763,0.4788,0.0448,Unstranded,EXCLUDE,Remove because is a germilne sample
PCGP_SJHYPO010000_C47,PCGP,SJHYPO010000_C47,RNA-Seq,SJHYPO010000_C47.RNA-Seq,SJHYPO010000_C47.RNA-Seq.bam,C47,CELL_LINE,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST988,HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.4769,0.4777,0.0453,Unstranded,EXCLUDE,Remove because is a germilne sample
PCGP_SJHYPO010000_C48,PCGP,SJHYPO010000_C48,RNA-Seq,SJHYPO010000_C48.RNA-Seq,SJHYPO010000_C48.RNA-Seq.bam,C48,CELL_LINE,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST988,HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.4753,0.4785,0.0462,Unstranded,EXCLUDE,Remove because is a germilne sample
PCGP_SJHYPO010000_C49,PCGP,SJHYPO010000_C49,RNA-Seq,SJHYPO010000_C49.RNA-Seq,SJHYPO010000_C49.RNA-Seq.bam,C49,CELL_LINE,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST988,HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.4725,0.4739,0.0536,Unstranded,EXCLUDE,Remove because is a germilne sample
PCGP_SJHYPO010000_C5,PCGP,SJHYPO010000_C5,RNA-Seq,SJHYPO010000_C5.RNA-Seq,SJHYPO010000_C5.RNA-Seq.bam,C5,CELL_LINE,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST1199,HiSeq2000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,Stranded according to John Easton RNAseq Worksheet,101,Total_Stranded_Paired_End_101,0.0149,0.9367,0.0483,Stranded-Reverse,EXCLUDE,Remove because is a germilne sample
PCGP_SJHYPO010000_C6,PCGP,SJHYPO010000_C6,RNA-Seq,SJHYPO010000_C6.RNA-Seq,SJHYPO010000_C6.RNA-Seq.bam,C6,CELL_LINE,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST1199,HiSeq2000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,Stranded according to John Easton RNAseq Worksheet,101,Total_Stranded_Paired_End_101,0.0119,0.9259,0.0622,Stranded-Reverse,EXCLUDE,Remove because is a germilne sample
PCGP_SJHYPO010000_C7,PCGP,SJHYPO010000_C7,RNA-Seq,SJHYPO010000_C7.RNA-Seq,SJHYPO010000_C7.RNA-Seq.bam,C7,CELL_LINE,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST1199,HiSeq2000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,Stranded according to John Easton RNAseq Worksheet,101,Total_Stranded_Paired_End_101,0.0113,0.9351,0.0537,Stranded-Reverse,EXCLUDE,Remove because is a germilne sample
